row_id,instance_id,repo,pull_number,candidate_chars,candidate_redacted_long_digit_runs,machine_recommendation,machine_reason,format_concerns,decision,reviewer,reviewed_at,notes
nearmiss-v1:c-crab:00710c9c18cd10fb,scikit-learn__scikit-learn-29401@819e167,scikit-learn/scikit-learn,29401,2968,false,hard_accept_candidate,"Candidate directly neutralizes global dataframe set_output warnings for TransformedTargetRegressor by forcing the internally-created target FunctionTransformer back to default output, with pandas and polars regression tests plus release note.",,,,,
nearmiss-v1:c-crab:0110087826d99378,sympy__sympy-18410@189871b,sympy/sympy,18410,2343,false,hard_accept_candidate,Candidate adds sinh and cosh to the recognized undetermined-coefficients function set and includes targeted dsolve/checkodesol coverage for the reported hyperbolic cases.,,,,,
nearmiss-v1:c-crab:04b3b67ccf17ffe1,python__mypy-3005@3587549,python/mypy,3005,13713,false,hard_accept_candidate,"Candidate implements issubclass-based Type narrowing, preserves unknown-type fallback behavior, and adds broad unit coverage for unions, tuples, builtins, and subclass hierarchies.",Patch includes a submodule commit update; reviewer should ensure the packet preserves the intended submodule transition.,,,,
nearmiss-v1:c-crab:04d390e945dd768e,scikit-learn__scikit-learn-10099@33f7ffa,scikit-learn/scikit-learn,10099,3466,false,hard_accept_candidate,Candidate emits a ConvergenceWarning when KMeans finds fewer distinct clusters than requested and adds a regression test matching duplicate-point behavior.,,,,,
nearmiss-v1:c-crab:060c7e12cfd0cb06,dask__dask-10723@09b7b68,dask/dask,10723,12811,false,hard_accept_candidate,"Candidate is a focused pandas 3.0 migration-prep patch adding deprecation handling for affected dataframe, groupby, and rolling APIs with matching test updates.",,,,,
nearmiss-v1:c-crab:0735945503ef9330,ManimCommunity__manim-509@1cbc24f,ManimCommunity/manim,509,2288,false,hard_accept_candidate,"Candidate adds ValueTracker in-place add support through __iadd__, preserves regular increment_value behavior, and covers the new += path with a test and changelog entry.",,,,,
nearmiss-v1:c-crab:08cafcb6483d8389,pandas-dev__pandas-33962@fc4993f,pandas-dev/pandas,33962,8718,true,hard_accept_candidate,"Candidate adds nrows plumbing and validation for line-delimited JSON reads, handles chunked and non-chunked paths, and includes tests and docs for the new behavior.",candidate_redacted_long_digit_runs is true; visible redaction appears compatible with diff index metadata rather than substantive code.,,,,
nearmiss-v1:c-crab:09584d0209952576,numpy__numpy-14924@6a7e3f1,numpy/numpy,14924,6927,true,hard_accept_candidate,"Candidate replaces the small-alpha Dirichlet failure mode with a stick-breaking path, keeps the standard gamma-normalization path for normal cases, and adds small-alpha tests plus release documentation.",candidate_redacted_long_digit_runs is true; visible redaction appears limited to diff index metadata.,,,,
nearmiss-v1:c-crab:0b5adcf2e8a30f49,scikit-learn__scikit-learn-23548@cc5e175,scikit-learn/scikit-learn,23548,2844,false,hard_accept_candidate,Candidate changes coverage_error input validation to require 2D arrays and adds regression coverage for the expected 1D error message and common invalid-input tests.,,,,,
nearmiss-v1:c-crab:0c6318021a8a500b,pandas-dev__pandas-24968@0ea6653,pandas-dev/pandas,24968,6266,false,hard_accept_candidate,Candidate exposes symlog scale through the pandas plotting API and adds DataFrame and Series plotting tests plus documentation.,,,,,
nearmiss-v1:c-crab:0e31e881b1af8ab5,reflex-dev__reflex-4406@5ec2c11,reflex-dev/reflex,4406,11317,false,hard_accept_candidate,"Candidate adds datetime Var comparison operations and serializer coverage, with integration tests exercising the new operations in the expected browser-facing workflow.",,,,,
nearmiss-v1:c-crab:0f20280ccef865cb,home-assistant__core-142977@fa60db7,home-assistant/core,142977,3455,false,hard_accept_candidate,"Candidate applies enabled checks inside parallel script sequences so disabled nested sequence steps are skipped, with regression coverage for the reported automation/script behavior.",,,,,
nearmiss-v1:c-crab:10070430d41b73e9,sympy__sympy-24666@7d194c7,sympy/sympy,24666,2064,true,hard_accept_candidate,Candidate scope is explicitly a regression test for simplified Piecewise condition preservation; the patch adds focused test coverage matching that test-only task.,candidate_redacted_long_digit_runs is true; reviewer should confirm redaction does not hide a significant literal in the expected Piecewise expression.,,,,
nearmiss-v1:c-crab:12dedf2f36029e2c,scikit-learn__scikit-learn-29442@3a19575,scikit-learn/scikit-learn,29442,11363,false,hard_accept_candidate,Candidate fixes ElasticNetCV sample-weight handling in coordinate descent and includes targeted linear-model regression tests plus release documentation.,,,,,
nearmiss-v1:c-crab:1600ca8239e2f6e0,python__mypy-11143@23a0e4b,python/mypy,11143,14542,true,hard_accept_candidate,Candidate expands mypy package discovery to search sys.path for PEP-561 compliant packages and adds command-line/modulefinder tests plus fixture package path cases.,candidate_redacted_long_digit_runs is true; redaction may affect path or fixture literal review and should be checked manually before authoritative signoff.,,,,
nearmiss-v1:c-crab:19fd2cb501691488,pandas-dev__pandas-61286@587e5d7,pandas-dev/pandas,61286,2711,false,hard_accept_candidate,Candidate updates Stata writer handling for pd.NA and None in strL columns and adds focused IO tests plus release note.,,,,,
nearmiss-v1:c-crab:1a3868334fafed91,pandas-dev__pandas-18831@4821f05,pandas-dev/pandas,18831,5896,false,hard_accept_candidate,Candidate fixes Series timedelta64 arithmetic with Timedelta scalars in core ops and adds operator tests and documentation for the corrected behavior.,,,,,
nearmiss-v1:c-crab:1a64c956e9fceeda,pandas-dev__pandas-18604@8c9061b,pandas-dev/pandas,18604,2256,false,hard_accept_candidate,"Candidate rejects the obsolete sheet argument in read_excel, includes tests for the error behavior, and documents the API cleanup.",,,,,
nearmiss-v1:c-crab:1af8c54719aff460,spyder-ide__spyder-11708@0ab0410,spyder-ide/spyder,11708,11722,false,hard_accept_candidate,"Candidate adjusts pylint discovery to use the nearest pylintrc and correct working directory, with utility, widget, and plugin tests covering local configuration resolution.",,,,,
nearmiss-v1:c-crab:200003ca11cb7699,jina-ai__serve-2037@792b165,jina-ai/serve,2037,9716,true,hard_accept_candidate,Candidate refactors Docker hub build labeling to support multistage Dockerfiles and adds an integration fixture plus unit/integration coverage for labels and multistage builds.,"candidate_redacted_long_digit_runs is true; visible redaction appears limited to generated or diff metadata, but the Dockerfile fixture should be manually reviewed before final signoff.",,,,
nearmiss-v1:c-crab:20e3c97d771762dd,numba__numba-4282@a062e23,numba/numba,4282,8710,false,hard_accept_candidate,Candidate detects unsupported generator/yield use before inlining/lowering and converts prior confusing failures into explicit UnsupportedError coverage.,,,,,
nearmiss-v1:c-crab:24fbdf7de1c6fa44,scipy__scipy-10410@3a58e13,scipy/scipy,10410,2619,false,hard_accept_candidate,Candidate dispatches ncx2 pdf/logpdf/cdf to chi2 when noncentrality is zero and adds numerical and random-variate tests for the zero-nc equivalence.,,,,,
nearmiss-v1:c-crab:28cdbe123c730a18,pandas-dev__pandas-28802@33c889c,pandas-dev/pandas,28802,3651,false,hard_accept_candidate,"Candidate coerces bool inputs to integers for cut and qcut, and adds parametrized tests confirming bool behavior matches numeric input behavior.",,,,,
