suite,question_id,tokens_per_second,claude_score,score_reason
coder,t1_q1_algorithm,53.46,1,"Found only Bug 1 (left=mid causes an infinite loop when right==left+1, fix left=mid+1) with a valid trigger arr=[1,2] target=3; never identifies a distinct second bug, spends ~150 lines of self-contradictory trial-and-error re-deriving Bug 1 as 'Bug 2', and truncates mid-sentence with no corrected function."
coder,t1_q2_refactor,42.13,3,"Delivers both requested versions: a single-pass seen/duplicates set at O(n) with the hashability and ordering losses named, and a sort-then-scan-adjacent version at O(n log n) that avoids holding a hash set of the large objects; complexity and tradeoffs given for each plus a comparison table."
coder,t1_q3_test,55.02,2,"Good coverage of normal, edge and error cases including pytest.raises(ValueError, match=...) for both b==0 paths, but test_divide_large_numbers asserts divide(1e100, 1e50) == 1e50 which is False in IEEE754 (the quotient is 9.999999999999999e+49), so the suite as written fails; no pytest.approx anywhere."
coder,t2_q1_design,50.39,3,"Correct hash-map-plus-sentinel-doubly-linked-list design; the pointer surgery in _add_to_head and _remove_node is ordered correctly, _pop_tail returns the node so the map entry is deleted by key, and get/put are genuinely O(1) with the data-structure rationale stated as required."
coder,t2_q2_debug_complex,41.73,3,"Names the exact defect (read, await-yield, write back a stale temp) and the fix wraps the whole read-sleep-write critical section in async with asyncio.Lock, which does serialize the 100 increments to a final value of 100."
coder,t2_q3_optimize,48.94,3,"Single-pass complement-frequency map that adds freq[target-num] BEFORE incrementing freq[num], so duplicate values and the target==2*num case are counted correctly exactly once per ordered pair; hits the O(n) target with complexity and approach explained. Minor: indexing the defaultdict for the complement inserts spurious zero keys."
coder,t2_q4_system,52.52,3,"Sliding-window timestamp log guarded by threading.Lock and using time.monotonic (immune to wall-clock jumps), validates max_requests>=1 and window_seconds>0, and only appends on an allowed request so the log stays bounded by N. Minor: list.pop(0) makes eviction O(k) where a deque would be O(1)."
coder,t3_q1_concurrent_correctness,46.15,2,"Parts 1 and 2 are correct and concrete (T1 stalls holding old top A, A and B are popped, allocator reuses A's address for a pushed C, T1's CAS then succeeds and clobbers top with the stale t->next, losing C), but the tagged-pointer fix declares current_node inside the do-while body and then dereferences and deletes it after the loop (will not compile), and its 'safe to delete because we removed it from the stack' comment is wrong: tagged pointers defeat the bad CAS, not the concurrent reader that is still dereferencing the freed node's next field."
coder,t3_q2_distributed_consistency,39.87,3,"All four parts delivered: four distinct strategies (LWW, FWW, CRDT merge, application-level detection) each paired with its own concrete failure scenario, an OR-Set CRDT recommendation for the cart justified by availability and add-heavy semantics, and a CP recommendation for the ledger (consensus, minority partition rejects writes, compensating transactions). Slip: G-Counter is listed as an example of a set CRDT, and the LWW example is labelled clock skew when no skew is actually present."
coder,t3_q3_algorithmic_hardness,47.05,2,"Parts 1 and 2 are right (comparison graph must be connected so at least n-1 comparisons; T(n)<=T(n/5)+T(7n/10)+O(n), group 3 gives 1/3+2/3=1 hence Theta(n log n), group 7 gives 1/7+5/7=6/7<1 hence still O(n) but with worse constants), but part 3 asked for a precise expected comparison count and instead derives the randomized-QUICKSORT pairwise sum by mistake, retracts it, waffles between 2n, 3n and 4n, and settles on a hand-waved '~2n' with no derivation."
