suite,question_id,tokens_per_second,claude_score,score_reason
general,t1_q1_json,40.24,3,"Extracts all four requested fields correctly from the sentence, including department as Platform rather than Platform team, and outputs only the JSON with no explanation as instructed."
general,t1_q2_multistep,51.43,3,"All four operations executed correctly: case-insensitive dedup to banana, Apple, cherry, Date keeping first-occurrence casing, alphabetical sort, numbering 1 through 4, and the trailing count of 4 - with no invented list items."
general,t1_q3_compare,31.68,3,"Delivers a direct two-sentence contrast inside the 2-3 sentence limit that correctly pairs each approach strength against its cost - microservices scaling and fault isolation against network latency and consistency, the monolith deployment simplicity and easy joins against scaling bottlenecks and coupling."
general,t2_q1_synthesis,25.44,3,"Three sentences reconciling all three stakeholders with the actual numbers: a patch inside the two-week product window, held under the 20K threshold so no board approval is triggered, with engineering three-month refactor explicitly scheduled post-Q4 rather than dropped."
general,t2_q2_transform,47.32,3,"Produces valid YAML (parses cleanly) regrouped by department, with all four employees under the right department and the level field preserved while the now-redundant dept field is dropped."
general,t2_q3_schedule,53.57,3,"Produces an actually valid schedule - Team Sync 9:00-10:00, Bob-Dave 10:30-11:00, Alice-Dave 2:00-2:30 - satisfying every constraint: Alice is clear of her 10-11 block, both 1:1s sit inside Dave 9-11 and 2-4 windows, and no person has two meetings with less than a 30-minute gap; each attendee is then verified individually."
general,t2_q4_inconsistency,49.42,3,"Finds both real inconsistencies - JSON body (A, C) vs form-encoded (B), and 100 req/min (A, B) vs 1000 req/hour (C) - and correctly does the conversion showing 100/min equals 6000/hour so the two rate limits are not equivalent."
general,t3_q1_policy_analysis,36.39,3,"Answers all four parts with three well-developed failure modes, each with a correct mechanism (the 99-percent-legitimate fraud example where an always-not-fraud model still clears the 95 percent bar is arithmetically right), a specific amendment and honest trade-offs; the SHAP critique is technically accurate since SHAP values are signed additive attributions in model-output units, so a normalized score above 0.8 is genuinely undefined."
general,t3_q2_system_failure,41.99,2,"Nails the mechanism (the check reads a replica that has not yet seen the primary write, so a retry inside the 500ms lag window passes the check twice) and the testing gap (sequential rather than concurrent idempotency tests against a zero-lag single-node database), but the fix section has real errors: reading from the primary is claimed to guarantee correctness when two truly concurrent requests would still both read not-found without a row lock or unique constraint, the standard atomic check-and-insert on a UNIQUE idempotency_key is never mentioned, and Redis Cluster with synchronous replication is factually wrong since Redis replication is asynchronous."
general,t3_q3_strategic_communication,31.56,2,"Hits requirements 1-3 well - owns the 40 percent miss and 25 percent overburn without excuses, explicitly frames the LOIs as not a rescue package but proof of concept, and gives quantified 90-day milestones (contracts closed by Day 45, burn down 15 percent) - but misses requirement 4 by addressing the elephant directly rather than indirectly, opening that paragraph by naming the conversations about leadership changes instead of letting the accountability framing carry it."
