suite,question_id,tokens_per_second,claude_score,score_reason
agentic,t1_q1_sequential,54.47,3,"Emits a valid two-element JSON array in the correct dependency order - grep_search for ERROR in /var/log/app.log, then read_file on the same path - with correct argument names and no surrounding prose."
agentic,t1_q2_error_handling,39.91,2,Reaches the right decision (it lacks a name or email so search_users cannot be called yet) but narrates its intent in the third person and never emits either required output form: no JSON tool call and no actual clarifying message addressed to the user.
agentic,t1_q3_nested_params,56.01,3,"Perfect nested tool call: title extracted cleanly as Fix login bug, both assignees as an array, and metadata carrying priority high, tags bug and urgent, and the ISO due_date, with only the JSON emitted."
agentic,t2_q1_ambiguous,33.23,3,Takes the explicitly permitted clarify branch with a question that names the actual decision axis (Slack for immediate awareness vs email for a formal record) and also asks what outage details to include.
agentic,t2_q2_error_chain,39.26,2,"Correct format - brief reasoning then one valid JSON call - and check_dns is non-destructive, but the stated rationale is technically wrong: a connection_refused on db-staging.internal:5432 means the name already resolved and a host sent an RST, so DNS resolution failure cannot be the cause, and it skips get_logs on the database service which would show why the port is not listening."
agentic,t2_q3_schema_edge,53.91,3,"Honors every edge constraint in the schema at once: endpoint /users with the required leading slash, method GET, body explicitly null as mandated for GET, and the auth header mapped to Authorization: Bearer token123."
agentic,t2_q4_orchestration,62.3,3,"Uses the exact requested key structure with valid JSON, correct ordering (checkout hotfix branch, test, build, deploy, notify), and both failure branches populated - notably rolling back to v1.2.2, the correct last-deployed version given in the prompt."
agentic,t3_q1_competing_constraints,50.83,2,"Delivers all three required keys with real per-step validation checks and a fallback that still yields partial results (top products by total revenue), but the execution chain is broken as written: every code block references an undefined file_content variable that execute_code has no way to receive, and step 4 hardcodes placeholder column names Product, Revenue and Date instead of consuming the columns step 3 detected - reintroducing exactly the wrong-column failure that constraint 3 warned about."
agentic,t3_q2_multi_agent_coordination,48.04,2,"All four required keys are present with an honest dependency chain and a correct 30+5+15=50s budget check against the 60s cap, but it answers the parallelization question with three single-agent groups and a claim that no parallelism is possible, when the reviewer data-integrity check depends only on phase 1 and could overlap the 5s coder step; its researcher retry-once policy also silently costs another 30s, blowing the same budget its own 50-percent-overrun timeout rule is meant to enforce."
agentic,t3_q3_adversarial_robustness,41.79,3,"Answers all five parts with verified technical accuracy - the supplied base64 payload does decode exactly to curl http://internal-api.local && cat /etc/passwd, and the /etc/passwd vs /etc/shadow distinction is correct - and proposes concrete controls (pre-execution decoding, allowlist-first command parsing, seccomp-bpf and chroot sandboxing, audit logging) while correctly refusing to honor a self-declared admin claim."
