model,quant,class,test,t_per_s_mean,t_per_s_std,delta_pct,statistically_significant,notes
Qwen3.6-27B,Q8_0,dense/hybrid SSM-Dense,baseline_no_omp,4.65,0.01,reference,n/a,gcc+libgomp+znver5; metadata reports qwen35 27B Q8_0
Qwen3.6-27B,Q8_0,dense/hybrid SSM-Dense,cpu21_best_stack,4.66,0.01,+0.2,no,within noise; CPU21 wins on dense ~ZERO
Qwen3.6-27B,Q8_0,dense/hybrid SSM-Dense,cpu25_baseline_znver5,4.77,0.01,reference for mirror,n/a,5-rep mean fluctuated slightly higher; restated as cpu25 baseline
Qwen3.6-27B,Q8_0,dense/hybrid SSM-Dense,cpu25_mirror4,4.71,0.01,-1.3,no,within noise; mirror gives no gain (or slight loss) on dense
Qwen3.6-27B,Q8_0,dense/hybrid SSM-Dense,cpu2_q8_env0,4.78,0.03,reference for cpu2,n/a,
Qwen3.6-27B,Q8_0,dense/hybrid SSM-Dense,cpu2_q8_env1,4.73,0.00,-1.0,no,within noise; Q8 SIMD gives no gain on dense at 96t
Qwen3.6-27B,Q8_0,dense/hybrid SSM-Dense,libomp_clang_znver5,4.69,0.01,-1.7 vs no-march baseline,no,within noise; libomp does NOT generalize the +6.4% Coder-30B win to dense
reference_Coder-30B-A3B,Q4_K_M,sync-bound MoE,libomp_vs_libgomp+znver5,53.28 vs 50.06,+6.4%,YES (major),from 2026-04-28-cpu21-libomp-chunks/
reference_Qwen3.6-35B-A3B,Q8_0,BW-bound frontdoor MoE,libomp_vs_libgomp+znver5,24.00 vs 23.82,+0.8%,no,within noise
reference_REAP-246B-A35B,Q4_K_M,DRAM-bound large MoE,libomp_vs_libgomp+znver5,6.47 vs 6.52,-0.8%,no,within noise
finding_11_closure,architecture_generalization,All four CPU optimizations confirmed NEUTRAL on dense/hybrid Qwen3.6-27B Q8_0,,,n/a,,,closes peer-review finding #11 (cross-architecture coverage gap)
